iter	RMSE
402	39601122.05
403	39568246.66
404	39519352.95
405	39418110.55
406	39304451.34
407	39173077.68
408	39016895.72
409	38924040.37
410	38785187.94
411	38741030.06
412	38648048.74
413	38612588.45
414	38591503.72
415	38547878.16
416	38517070.14
417	38486456.08
418	38469220.34
419	38444203.89
420	38400837.81
421	38322421.13
422	38214434.96
423	38196407.2
424	38176842.44
425	38159643.97
426	38142884.46
427	38114961.58
428	38029238.67
429	37993146.53
430	37954433.9
431	37864481.1
432	37751233.65
433	37625804.58
434	37593336.27
435	37431935.95
436	37287022.12
437	37169982.67
438	37077486.93
439	37041376.19
440	36970715.35
441	36848605.1
442	36779157.69
443	36691421.52
444	36638718.47
445	36606346.32
446	36496640.93
447	36404878
448	36379077.2
449	36264067.7
450	36177430.94
451	36087649.5
452	35926537.65
453	35821669.3
454	35759605.52
455	35729005.72
456	35642012.88
457	35567531.22
458	35500062.02
459	35414161.83
460	35378910.45
461	35289564.85
462	35161341.05
463	34998703.83
464	34967157.6
465	34892493.47
466	34812685.68
467	34789757.98
468	34697229.34
469	34682718.45
470	34580251.76
471	34489168.51
472	34392239.24
473	34281245.87
474	34229321.71
475	34165134
476	34147993.76
477	34054269.75
478	33981329.66
479	33921610.13
480	33909365.19
481	33831278.61
482	33766605.73
483	33751552.05
484	33647621.85
485	33618093.24
486	33546721.47
487	33520419.68
488	33450692.84
489	33319140.24
490	33238528.2
491	33208590.62
492	33187975.88
493	33154026.51
494	33071118.26
495	32942827.91
496	32924798.73
497	32858617.33
498	32805204.67
499	32789136.22
500	32730533.76
501	32681045.75
502	32667966.2
503	32578610.18
504	32502317.85
505	32449574.71
506	32370609.33
507	32314052.9
508	32300737.66
509	32283145.18
510	32211483.83
511	32196322.5
512	32128571.81
513	32082521.84
514	32032954.84
515	31970498.72
516	31829759.37
517	31811165.47
518	31781045.34
519	31710199.3
520	31695614.74
521	31647615.76
522	31619157.64
523	31519397.56
524	31436384.47
525	31371771.24
526	31319143.56
527	31294932.16
528	31228572.39
529	31151562.59
530	31096062.28
531	31076221.39
532	30996288.92
533	30902376.68
534	30893346.38
535	30879991.26
536	30795010.15
537	30722239.66
538	30589500.17
539	30523896.79
540	30471567.51
541	30404321.28
542	30350778.74
543	30291254.18
544	30217946.88
545	30137852.29
546	30013791.32
547	29944261.56
548	29873915.25
549	29842501.36
550	29767793.65
551	29737127.76
552	29713993.97
553	29626828.41
554	29575939.4
555	29527052.41
556	29413282.06
557	29295549.88
558	29172605.53
559	29118714.73
560	29066685.14
561	28995331.61
562	28952879.35
563	28883772.6
564	28823125.63
565	28785367.09
566	28675357.61
567	28609367.93
568	28536315.65
569	28436165.21
570	28380578.57
571	28319448.89
572	28299332.38
573	28238881.17
574	28192961.12
575	28130549.72
576	28090601.5
577	28004952.84
578	27954686.68
579	27931053.29
580	27887435.45
581	27804044.37
582	27706988.55
583	27658245.84
584	27625891.37
585	27564516.58
586	27523418.41
587	27431400.88
588	27334929.79
589	27241278.16
590	27152645.68
591	27095990.8
592	27074825.71
593	27040319.61
594	26995158.51
595	26951172.75
596	26898297.92
597	26841858.78
598	26821152.43
599	26800133.17
600	26748780.81
601	26712754.99
602	26650757.68
603	26608733.06
604	26588671.12
605	26541853.48
606	26448836.13
607	26395788.4
608	26324222.25
609	26311572.19
610	26257873.06
611	26192081.77
612	26173375.22
613	26135552.27
614	26080014.91
615	26063236.36
616	26030159.82
617	26011239.48
618	25976541.18
619	25944090.61
620	25888985.49
621	25874400.74
622	25836085.15
623	25776671.89
624	25698495.95
625	25660629.51
626	25601780.66
627	25589143.86
628	25550666.66
629	25514378.02
630	25493375.63
631	25463549.21
632	25441959.12
633	25425750.54
634	25360981.78
635	25320630.11
636	25280573.63
637	25274563.72
638	25248119.48
639	25225558.33
640	25172854.21
641	25152207.4
642	25121014.65
643	25086616.66
644	25070914.32
645	25004532.81
646	24922025.78
647	24847106.03
648	24798767.06
649	24778603.63
650	24737936.01
651	24720525.44
652	24708573.82
653	24671324.22
654	24616714.36
655	24590017.08
656	24541388.38
657	24490802.79
658	24485094.79
659	24470147.15
660	24399033.01
661	24342933.02
662	24312003.16
663	24293407.44
664	24191243.23
665	24156904.05
666	24150207.99
667	24113836.77
668	24035161.63
669	24010164.92
670	23968563.19
671	23919027.14
672	23911300.44
673	23871314.58
674	23838603.99
675	23798574.74
676	23752646.99
677	23719198.04
678	23674388.22
679	23616312.42
680	23609237.75
681	23539825.26
682	23462066.17
683	23444219
684	23410962.13
685	23369733.38
686	23342274.19
687	23292908.97
688	23237904.85
689	23203479.98
690	23178749.5
691	23148085.93
692	23140262.11
693	23108390.03
694	23098570.39
695	23073504.06
696	23047925.99
697	23041580.74
698	23034744.62
699	23013384.25
700	22951220.99
701	22897233.12
702	22828975.27
703	22762941.7
704	22746346.3
705	22720771.99
706	22715397.42
707	22691040.32
708	22651884.56
709	22609111.13
710	22583363.01
711	22519810.68
712	22458051.81
713	22404114.63
714	22400132.19
715	22347937.05
716	22273139.27
717	22257639.26
718	22213893.66
719	22183478.05
720	22130163.33
721	22075350.83
722	22054613.92
723	21980582.05
724	21951285.7
725	21903113.77
726	21861182.8
727	21825116.17
728	21809644.55
729	21773205.37
730	21733417.54
731	21729595.28
732	21714132.5
733	21685357.73
734	21634935.27
735	21566298.37
736	21514534.98
737	21483162.4
738	21458721.76
739	21445534.19
740	21409344.68
741	21386178.9
742	21355051.49
743	21351482.82
744	21341878.59
745	21310917.08
746	21278289.81
747	21219002.05
748	21185136.24
749	21133598.11
750	21126366.89
751	21117324.86
752	21105564.78
753	21050795.49
754	21043695.57
755	21001250.52
756	20931181.52
757	20896621.77
758	20864805.41
759	20841207.14
760	20798015.33
761	20786323.47
762	20775895.91
763	20734773.51
764	20707939.92
765	20670305.91
766	20665430.12
767	20593341.83
768	20539855.87
769	20509463.64
770	20495841.53
771	20488806.87
772	20467727.11
773	20433227.14
774	20400633.44
775	20397203.96
776	20390644.13
777	20357110.56
778	20310231.38
779	20251535.6
780	20227915.23
781	20172448.61
782	20129454.72
783	20123464.29
784	20092361.95
785	20075386.56
786	20039853.26
787	20036981.19
788	20012440.25
789	19974841.95
790	19942044.56
791	19911005.42
792	19876013.01
793	19830809.57
794	19787520.5
795	19748283.76
796	19731035.74
797	19691915.68
798	19671795.98
799	19627052.22
800	19600674.53
801	19545262.18
802	19516736.73
803	19498034.33
804	19492841.56
805	19452682.05
806	19447156.41
807	19444377.85
808	19406091.1
809	19344582.3
810	19339125.12
811	19333380.18
812	19305128.15
813	19258756.08
814	19227738.4
815	19169036.61
816	19152396.65
817	19106719.29
818	19077396.07
819	19070968.39
820	19063829.07
821	19019525.96
822	19012161.45
823	19005009.37
824	18944218.51
825	18941523.85
826	18938202.25
827	18934791.9
828	18930867.08
829	18890649.63
830	18868056.39
831	18821192.46
832	18790889.41
833	18766472.63
834	18746344.83
835	18735565.79
836	18687670.28
837	18655127.95
838	18643861.12
839	18641574.17
840	18633104.76
841	18594203.67
842	18590043.45
843	18560391.42
844	18554562.71
845	18551454.35
846	18544446.41
847	18542043.15
848	18486621.99
849	18471143.49
850	18427937.01
851	18421064.76
852	18375098.2
853	18352224.65
854	18341188.7
855	18279795.49
856	18262964.6
857	18233879.52
858	18189694.28
859	18165247.68
860	18137190.27
861	18130384.45
862	18118199.9
863	18111002.27
864	18076425.6
865	18032521.61
866	17997115.56
867	17991866.44
868	17961099.56
869	17927895.01
870	17854959.91
871	17822157.54
872	17788173.2
873	17759905.23
874	17754926.14
875	17743772.16
876	17722933.3
877	17688439.7
878	17656053.94
879	17633142.06
880	17608523.11
881	17565763.67
882	17553004.27
883	17525343.97
884	17473224
885	17427870.45
886	17391420.45
887	17374114.52
888	17356997.77
889	17349766.62
890	17308088.46
891	17283020.66
892	17255650.45
893	17227587.1
894	17160902.94
895	17129714.64
896	17102662.66
897	17082579.05
898	17064687.87
899	17062321.38
900	17035383.32
901	17030453.38
902	17015985.18
903	17011697.69
904	17006117.45
905	16957636.7
906	16939197.1
907	16921923.85
908	16893945.56
909	16876627.15
910	16874291.15
911	16835225.65
912	16830902.17
913	16806589.17
914	16788521.76
915	16760273.19
916	16736835.63
917	16699662.34
918	16669747.15
919	16616208.33
920	16587526.06
921	16582116.3
922	16557552.58
923	16520218.01
924	16509316.59
925	16479298.14
926	16468681.12
927	16433796.43
928	16377057.52
929	16352627.33
930	16330547.91
931	16326339.76
932	16302677.13
933	16267976.5
934	16252887.36
935	16241004.64
936	16219759.48
937	16186771.89
938	16169431.11
939	16136152.38
940	16124443.33
941	16056958.67
942	16020735.97
943	16014940.99
944	15991248.29
945	15966973.3
946	15933898.13
947	15905801.83
948	15874927.13
949	15854419.09
950	15837722.74
951	15828906.2
952	15803201.47
953	15784936.33
954	15781636.01
955	15750114.65
956	15708261.18
957	15701309.26
958	15684230.77
959	15669657.84
960	15665406.41
961	15621509.64
962	15569064.83
963	15554809.67
964	15547500.71
965	15526049.52
966	15509618.13
967	15483304.85
968	15455991.02
969	15440673.03
970	15425276.22
971	15420388.5
972	15406176.86
973	15400828.42
974	15387563.02
975	15362286.17
976	15347954.68
977	15295787.3
978	15291860.13
979	15252931.27
980	15232447.23
981	15198795
982	15182704.19
983	15154906.91
984	15138603.63
985	15132487.5
986	15127429.54
987	15091330.62
988	15072926.07
989	15046230.18
990	15035546.74
991	15006459.52
992	14998715.73
993	14993905.6
994	14970887.7
995	14941640.9
996	14920550.93
997	14893577.92
998	14878912.64
999	14863840.85
